Material;        Total Stock 
 KGF39SW45 ;-81
 HBF554YW0R ;-80
 KDN56PI32N ;-80
 PBP6C2B80L ;-80
 Q8A0024519 ;-80
 Q8A0024579 ;-80
 Q8A0024580 ;-80
 Q8A0029186 ;-80
 Q8A0029190 ;-80
 Q8A0029202 ;-80
 WAT28481ME ;-80
 HZ438301 ;-79
 KGE39EI4P ;-79
 LPRODBIN10 ;-79
 SMS45II01B ;-79
 WAT2869BSN ;-79
 KGN39XW37 ;-78
 KGV36UW20S ;-78
 LC64PCC50T ;-78
 SMS46MI01B ;-78
 WM14B262DN ;-78
 WM14B262DN ;-78
 CF1M21050Y ;-77
 KG36NNL30 ;-77
 PBP0C2Y80N ;-77
 PHA005090 ;-77
 WM12B166DN ;-77
 WM12B166DN ;-77
 KDN46VI20 ;-76
 KG39NEI45 ;-76
 KG39NXL45 ;-76
 KGN49LB30U ;-76
 KGN76AI30U ;-76
 LE124S1FMD ;-76
 WM14T6A2 ;-76
 ZVC752ZPRU ;-76
 BD3056W3VN ;-75
 KGN57PW23N ;-75
 MUZ5EB2 ;-75
 Q8A0029207 ;-75
 VE0KA0050 ;-75
 KG76NDW30N ;-74
 KGN36KL35 ;-74
 KGN56LB40B ;-74
 PHD2511B ;-74
 Q8A0026019 ;-74
 Q8A0026031 ;-74
 HXN390D20 ;-73
 KG36EVW4A ;-73
 KG56NAI32N ;-73
 KGN76AW30N ;-73
 KGV33VL31E ;-73
 Q8A0024475 ;-73
 SKS62E22IR ;-73
 SMS46MW01B ;-73
 HBF114ES0 ;-72
 HBF174ER0 ;-72
 HBF514ES0R ;-72
 HGA128D20R ;-72
 HK9S5A240 ;-72
 HLS79R420 ;-72
 HXR390E50N ;-72
 HXR39IH20 ;-72
 KGN39AI45 ;-72
 KGV36UL30S ;-72
 LI63TCA10T ;-72
 PBY6C2B80Q ;-72
 TDA703121A ;-72
 VH1MD0050 ;-72
 VH1ME0050 ;-72
 WAB2028KPL ;-72
 FRES113HBD ;-71
 KDN56VW32B ;-71
 KG36VXW30S ;-71
 PPH616B21E ;-71
 ZKZ509910 ;-71
 HGA23A150S ;-70
 KG36NNL30-B ;-70
 KG36WXL30S ;-70
 KGN33NW21U ;-70
 KGV33VL31G ;-70
 Q8A0029076 ;-70
 Q8A0029205 ;-70
 Q8A0029210 ;-70
 SMI25DB00T ;-70
 T18IF901SP ;-70
 TDS6010 ;-70
 HBF534EW0Q ;-69
 KD33VVW30 ;-69
 KG36VEL30 ;-69
 KG56NLB30U ;-69
 KGN86AI30U ;-69
 KGV36UL20S ;-69
 WAB2028KPL ;-69
 BD2043W2VV ;-68
 FRES113HBL ;-68
 HBJ558YS0T ;-68
 KDV33VW32 ;-68
 KG39FSW45 ;-68
 KG56NUW30N ;-68
 KGN33NL30 ;-68
 KGN39IJ3AG ;-68
 PBP6C2B90 ;-68
